Commit SHA,File path,Added lines,Deleted lines,If ICC,Our heuristics
abaa0f786a435ba1d03438ddc51c736bb0d843cc,/src/main/java/org/dasein/cloud/platform/bigdata/DataCluster.java,"    /**
     * @param key the key of the tag value you wish to fetch
     * @return the tag value for the specified tag key
     */
    public @Nullable String getTag(@Nonnull String key) {
        return getTags().get(key);
    }

    @Override
    public @Nonnull Map<String, String> getTags() {
        return (tags == null ? new HashMap<String, String>() : tags);
    }

",,0,0
10a4785a7ed2a545f7d94fe99829510343c1a960,/src/main/java/hudson/plugins/jira/Updater.java,"            Iterable<JiraIssue> issues, JiraSession session,
        Set<JiraIssue> copy = ImmutableSet.copyOf(issues);
            logger.println(Messages.UpdatingIssue(issue.getKey()));
                        issue.getKey(),
                    session.addLabels(issue.getKey(), labels);
                    logger.println(issue.getKey() + "" - JIRA issue not found. Dropping comment from update queue."");
                    logger.println(issue.getKey() + "" - Jenkins JIRA user does not have permissions to comment on this issue. Preserving comment for future update."");
                    logger.println(issue.getKey() + "" - Jenkins JIRA authentication problem. Preserving comment for future update."");
                logger.println(Messages.FailedToUpdateIssueWithCarryOver(issue.getKey()));
    private static Set<JiraIssue> getJiraIssues(Set<String> ids, JiraSession session, PrintStream logger) throws RemoteException {
        Set<JiraIssue> issues = Sets.newHashSet();
","            List<JiraIssue> issues, JiraSession session,
        List<JiraIssue> copy = new ArrayList<JiraIssue>(issues);
            logger.println(Messages.UpdatingIssue(issue.id));
                        issue.id,
                    session.addLabels(issue.id, labels);
                    logger.println(issue.id + "" - JIRA issue not found. Dropping comment from update queue."");
                    logger.println(issue.id + "" - Jenkins JIRA user does not have permissions to comment on this issue. Preserving comment for future update."");
                    logger.println(issue.id + "" - Jenkins JIRA authentication problem. Preserving comment for future update."");
                logger.println(Messages.FailedToUpdateIssueWithCarryOver(issue.id));

            // if no exception is thrown during update, remove from the list as succesfully updated
            issues.remove(issue);
    private static List<JiraIssue> getJiraIssues(Set<String> ids, JiraSession session, PrintStream logger) throws RemoteException {
        List<JiraIssue> issues = new ArrayList<JiraIssue>(ids.size());

",0,0
97911372fe3816221447528f7ee14e8186b3f680,/app/src/main/java/org/kontalk/data/Contact.java,"    /** Cached name information from system contacts. It will override our internal name. */
    private StructuredName mStructuredName;

    private static final class StructuredName {
        public final String displayName;
        public final String givenName;
        public final String middleName;
        public final String familyName;

        public StructuredName(String displayName, String givenName, String middleName, String familyName) {
            this.displayName = displayName;
            this.givenName = givenName;
            this.middleName = middleName;
            this.familyName = familyName;
        }
    }

",,0,0
45817eb4a6e5db8ecd5341943888727f837202dc,/de.metas.handlingunits.base/src/main/java/de/metas/handlingunits/materialtracking/spi/impl/HUDocumentLineLineMaterialTrackingListener.java," *
 *
"," * 
 * 
",1,1
61255f2545233fabff5bb77f7faae2cefe68fe8a,/app/src/processing/app/SingleInstance.java,,"      //int port = Integer.parseInt(Preferences.get(""server.port""));
      //String key = Preferences.get(""server.key"");
//      long endTime = System.currentTimeMillis() + timeout;
//
//      Socket socket = null;
//      while (socket == null && System.currentTimeMillis() < endTime) {
//        try {
//          socket = new Socket(InetAddress.getByName(null), port);
//        } catch (Exception ioe) {
//          try {
//            Thread.sleep(50);
//          } catch (InterruptedException ie) {
//            Thread.yield();
//          }
//        }
//      }
",1,1
eb20f830cfe20d3d55cc140638bf7b07570a2229,/org.eclipse.jdt.launching/launching/org/eclipse/jdt/launching/sourcelookup/JavaSourceLocator.java,"	
	/**
	 * Returns whether the given objects are equal, allowing
	 * for <code>null</code>.
	 * 
	 *   for <code>null</code>
	private static boolean equalOrNull(Object a, Object b) {
		if (a == null) {
			return b == null;
		}
		if (b == null) {
			return false;
		}
		return a.equals(b);
	}
	
	/**
	 * Returns whether the source attachments of the given package fragment
	 * root and runtime classpath entry are equal.
	 * 
	 * root and runtime classpath entry are equal
	private static boolean isSourceAttachmentEqual(IPackageFragmentRoot root, IRuntimeClasspathEntry entry) throws JavaModelException {
		return equalOrNull(root.getSourceAttachmentPath(), entry.getSourceAttachmentPath())
		   && equalOrNull(root.getSourceAttachmentRootPath(), entry.getSourceAttachmentRootPath());
	}
	
	/**
	 * Determines if the given archive runtime classpath entry exists
	 * in the workspace as a package fragment root. Returns the associated
	 * package fragment root source location if possible, otherwise
	 * <code>null</code>.
	 *  
	private static IJavaSourceLocation getArchiveSourceLocation(IRuntimeClasspathEntry entry) {
		IResource resource = entry.getResource();
		if (resource == null) { 
			// Check all package fragment roots for case of external archive.
			// External jars are shared, so it does not matter which project it
			// originates from
			IJavaModel model = JavaCore.create(ResourcesPlugin.getWorkspace().getRoot());
			try {
				IJavaProject[] jps = model.getJavaProjects();
				for (int i = 0; i < jps.length; i++) {
					IPackageFragmentRoot[] allRoots = jps[i].getPackageFragmentRoots();
					for (int j = 0; j < allRoots.length; j++) {
						IPackageFragmentRoot root = allRoots[j];
						if (root.isExternal() && root.getPath().equals(new Path(entry.getLocation()))) {
							if (isSourceAttachmentEqual(root, entry)) {
								// use package fragment root
								return new PackageFragmentRootSourceLocation(root);
							}							
						}
					}
				}
			} catch (JavaModelException e) {
				LaunchingPlugin.log(e);
			}
		} else {
			// check if the archive is a package fragment root
			IProject project = resource.getProject();
			IJavaProject jp = JavaCore.create(project);
			if (jp.exists()) {
				try {
					IPackageFragmentRoot root = jp.getPackageFragmentRoot(resource);
					IPackageFragmentRoot[] allRoots = jp.getPackageFragmentRoots();
					for (int j = 0; j < allRoots.length; j++) {
						if (allRoots[j].equals(root)) {
							// ensure source attachment paths match
							if (isSourceAttachmentEqual(root, entry)) {
								// use package fragment root
								return new PackageFragmentRootSourceLocation(root);
							}
						}
					}
					// check all other java projects to see if another project references
					// the archive
					IJavaModel model = JavaCore.create(ResourcesPlugin.getWorkspace().getRoot());
					IJavaProject[] jps = model.getJavaProjects();
					for (int i = 0; i < jps.length; i++) {
						allRoots = jps[i].getPackageFragmentRoots();
						for (int j = 0; j < allRoots.length; j++) {
							root = allRoots[j];
							if (!root.isExternal() && root.getPath().equals(entry.getPath())) {
								if (isSourceAttachmentEqual(root, entry)) {
									// use package fragment root
									return new PackageFragmentRootSourceLocation(root);
								}							
							}
						}
					}
				} catch (JavaModelException e) {
					LaunchingPlugin.log(e);
				}		
			}
		}		
		return null;
	}
	
",,0,0
ea515aeafa01de6f50c854ee381b972ef2478284,/core/tests/coretests/src/android/accessibilityservice/InterrogationActivityTest.java,"    @LargeTest
    public void testFindAccessibilityNodeInfoByViewTextContentDescription() throws Exception {
        beforeClassIfNeeded();
        final long startTimeMillis = SystemClock.uptimeMillis();
        try {
            // bring up the activity
            getActivity();

            // find a view by text
            List<AccessibilityNodeInfo> buttons =  AccessibilityInteractionClient.getInstance()
                .findAccessibilityNodeInfosByViewTextInActiveWindow(getConnection(),
                        ""contentDescription"");
            assertEquals(1, buttons.size());
        } finally {
            afterClassIfNeeded();
            if (DEBUG) {
                final long elapsedTimeMillis = SystemClock.uptimeMillis() - startTimeMillis;
                Log.i(LOG_TAG, ""testFindAccessibilityNodeInfoByViewTextContentDescription: ""
                        + elapsedTimeMillis + ""ms"");
            }
        }
    }

",,0,0
b481a6cbf8d3d9994550ee2cf699699b501449e7,/src/org/apache/fop/render/awt/AWTRenderer.java," //         addLine(rx, ry, rx + w, ry, area.getBorderTopWidth(),   // corrected aml/rlc
            addLine(rx, ry, rx + w, ry, -area.getBorderTopWidth(),
","            addLine(rx, ry, rx + w, ry, area.getBorderTopWidth(),
",0,0
2a2d984f7258e62eff34b4deba3f803529553227,/flink-contrib/flink-storm-examples/src/test/java/org/apache/flink/storm/tests/StormUnionITCase.java,"import org.apache.storm.Config;
import org.apache.storm.topology.TopologyBuilder;

/**
 * Test for the {@link MergerBolt}.
 */
",,1,1
b0748c58653420c30febcb97e0d0742ae158cb17,/jetty-server/src/test/java/org/eclipse/jetty/server/session/SessionCookieTest.java,"         * @see org.eclipse.jetty.server.session.AbstractSessionStore#doPutIfAbsent(org.eclipse.jetty.server.session.SessionKey, org.eclipse.jetty.server.session.Session)
        public Session doPutIfAbsent(SessionKey key, Session session)
            return null;
","         * @see org.eclipse.jetty.server.session.AbstractSessionStore#doPut(org.eclipse.jetty.server.session.SessionKey, org.eclipse.jetty.server.session.Session)
        public void doPut(SessionKey key, Session session)
            // TODO Auto-generated method stub
            
",0,0
